back	adv.回原处?n.背?后面?adj.后面的?v.后退
isotope	n.同位素
nevertheless	adv.尽管如此?conj.然而?不过?adv.然而， 不过
wheat	n.小麦
parlor	n.客厅?会客室
flourish	v&n.繁荣?茂盛?vi.繁荣， 茂盛； 挥舞， 挥动
catch	v.捕获?抓住
evolutionary	adj.进化的?发展的?演变的
variability	n.可变性
turbine	n.涡轮
highland	n.高地?丘陵地带
meat	n.(食用)肉?肉类
match	v.相配?相称?v.匹配?n.比赛；对手
tall	adj.高的?长的
distribute	v.分发?分配?vt.分配， 分发； 散布
comparative	adj.比较的?相当的?adj.比较的；比较级的；相对的?n.比较级
newly	adj.重新?最近
mill	v.碾磨?搅拌
indirect	adj.间接的?迂回的
stop	n&v.停止?阻止
customer	n.消费者
suddenly	adv.突然地
manner	n.礼貌?方式?n.方式，风格；
vegetable	n.蔬菜?植物
mud	n.泥?泥浆
motif	n.主题?主旨?n.主题， 主旨； 图形
wheel	n.轮?v.推?拉?转动
rough	adj.粗糙的?大致的?adj.粗糙不平的；粗暴的；艰难的?n.高低不平的地面
corridor	n.走廊
challenger	n.挑战者
fragment	n.碎片?v.(使)成碎片?v.分裂， 成碎片?n.碎片， 断片
occasionally	adv.有时候?偶而
beaver	n.海狸(毛皮)?vi.忙于?n.海狸； 海狸毛皮
ceremony	n.典礼?仪式?n.典礼， 仪式； 礼节
altitude	n.高度(海拔)?n.海拔，高度；
arrive	v.到达?抵达
former	adj.从前的?以前的?adj.从前的?n.前者
career	n.事业?生涯?n.生涯， 经历； 职业
aim	n.目标v对瞄准?打算
inventor	n.发明家
examine	v.检查?调查?考试
atmospheric	adj.大气的
introduction	n.介绍?传入?n.介绍； 传入， 引进； 导言， 绪论
encode	v.把编码
squirrel	n.松鼠
invent	v.发明?创造
pueblo	n.印第安人村庄?n.普韦布洛印第安人村落； 普韦布洛人
pound	n.磅?英镑?v.(连续)猛击?捣碎?v.猛击；捣碎；怦怦跳?n.磅； 英镑
pebble	n.小圆石?小鹅卵石?n.小圆石， 鹅卵石
lot	n.许多?大量
obvious	adj.明显的?显而易见的
station	n.(车)站?台?v.安置?派驻?n.所；站；台；岗位；身份，地位?vt.安置； 派驻， 驻扎
sumerian	n.闪族人[语]
brown	n&a.棕色(的)?人名
gazelle	n.瞪羚?小羚羊
Columbia	n.哥伦比亚
statistic	n.统计数值?n.统计数字，统计资料；
evaporation	n.蒸发?n.蒸发； 消失， 不存在
archaeology	n.考古学
elsewhere	adv.在别处
seasonal	adj.季节的?周期性的
reality	n.真实?事实
alone	adj.单独的
college	n.学院
dead	adj.死的?n.死者
regional	adj.整个地区的?地域性地
sandstone	n.沙岩
Sweden	n.瑞典
suck	v.吸?吮
speech	n.演说
modem	n.[计]调制解调器?n.调制解调器
pioneer	n.先驱者?创始人?v.开拓(创)?vt.开拓，开创?n.开拓者， 创始人
originally	adv.最初?原先
salinity	n.盐分?盐度
room	n.房间
weapon	n.武器
clean	adj.清洁的?v.打扫?使干净
corn	n.玉米
dynasty	n.朝代?王朝
livestock	n.家畜?n.〈总称〉家畜， 牲畜
algae	n.水藻
lowland	n.低地
round	adj.圆的?adv.在周围?prep.大约
imagine	v.想象?设想
vertebrate	n.脊椎动物?adj.有脊椎的
sixteenth	num.第十六?十六分之一
smooth	adj.光滑的?平整的?v.弄平
talk	v&n.谈话
bright	adj.明亮的
anthropologist	n.人类学家
opposite	adj.相对的?对面的?n.相反的事物?adj.对面的；对立的；相反的?prep.在…对面?n.对立面；对立物
interval	n.间隔?距离?n.间隔时间； 间距； 幕间休息
volcano	n.火山
love	n&v.爱
mind	n.头脑?意见?v.介意?注意
full	n.全部?adj.充满的?完全的
universal	adj.普遍的?全体的?adj.普遍的， 全体的； 通用的， 万能的； 宇宙的， 全世界的
union	n.联合?联盟
fluid	n.液体?adj.流体的?流动的?adj.液体的； 流动的?n.液体，流体
wildebeest	n.羚羊(其中一种)
resistance	n.反抗?抵抗
rabbit	n.兔
museum	n.博物馆
hormone	n.荷尔蒙?激素?n.激素， 荷尔蒙
countryside	n.乡下地方
thereby	adv.因此?从而?adv.因此， 从而
violin	n.小提琴
bad	adj.劣质的?有害的?坏的
copy	n.副本?v.复印?抄袭
distant	adj.远的?疏远的?adj.远离的， 遥远的； 疏远的， 冷淡的； 久远的； 不同的
pellet	n.小球
physics	n.物理学
forth	adv.往前?向外
mesozoic	n&a.中生代(的)
giant	n.巨人?天才?adj.巨大的；超群的?n.巨大的动物； 才智超群的人
sheet	n.(一)片?(一)张
Denmark	n.丹麦
gar	n.雀鳝属鱼? 雀鳝
functional	adj.功能的
cultivation	n.培养?教养
impossible	adj.不可能的
colonize	v.拓殖?殖民?vt.聚居于， 大批生长于； 开拓殖民地， 移居于
flipper	n.鳍状肢
droplet	n.小滴
paleontologist	n.古生物学者
apprentice	n.学徒?v.当学徒
grandma	n.奶奶
investigation	n.调查?研究
rail	n.栏杆?v.抱怨?责骂
post	n.邮政(件)?职位?v.邮寄?贴出
lock	n.锁?v.锁上
feeling	n.触觉?知觉
fossilization	n.化石作用
homeland	n.祖国?本国
policy	n.政策?方针?n.政策， 方针； 原则； 保险单
wrong	a&ad.错误的?不正当的
Greece	n.希腊
screen	n.屏幕?v.掩蔽?放映?vt.掩蔽；审查；筛选
freezing	adj.冰冻的?严寒的
mislead	v.误导
hind	adj.后边的?后面的?adj.后面的， 在后的
fern	n.蕨类植物
aurora	n.黎明的女神?极光?n.极光
zebra	n.斑马
heart	n.心?心脏
whatever	pron.凡是?无论什么?adj.无论怎样的
list	n.目录?列表?v.列出
scandinavian	n.斯堪的纳维亚人[语]
Paris	n.巴黎
profit	n.利润?益处?v.得益?有利于
revise	v.修订?校订?vt.修订， 修改； 复习
hence	adv.因此?从此
investigator	n.调查人
rent	v.租用?出租?n.租金
dam	n.水坝?障碍?n.坝，堤?vt.筑坝； 控制
reduction	n.减少?缩影
unless	conj.如果不?除非
transformation	n.变化?转化
basket	n.篮?一篮
establishment	n.确立?制定
canopy	n.天篷?遮篷?n.天篷； 罩盖， 遮篷； 天蓬似的树阴
dig	v.挖
reservoir	n.水库?蓄水池?n.水库， 蓄水池； 储备， 储藏
description	n.描写?记述
oral	adj.口头的?adj.口头的， 口述的； 口腔的
potash	n.碳酸钾?苛性钾
trouble	n&v.烦恼?麻烦
exhibitor	n.展出者?显示者
none	adv.决不?毫不?pron.一个也没有
wing	n.翅膀?v.飞过
win	v.(获)胜?赢得
partner	n.合伙人
argument	n.争论
solve	v.解决?解答
cage	n.笼
shale	n.页岩?泥板岩
maker	n.制造者
variable	adj.多变的?可变的?n.变量?adj.易变的；
perceive	v.察觉?感知?vt.感知， 察觉； 理解
nervous	adj.紧张的?不安的
hyper	adj.亢奋的?高度紧张的
warren	n.养兔场?大杂院
investor	n.投资者
loose	n.解放?放任?v.弄松? 释放?adj.松散的， 宽松的； 不精确的， 不严密的； 不牢固的； 自由的， 散漫的
miss	n.过错?v.错过?遗漏
upward	adj.向上的?adv.以上
linguistic	adj.语言(学)上的?adj.语言的， 语言学的
uniform	n.制服?v.使统一?adj.统一的； 均匀的
failure	n.失败
secure	adj.安全的?可靠的?v.保护?adj.安全的，有保障的；可靠的；确定的；
pool	n.池
coat	n.外套?v.涂上?包上
clothe	v.给穿衣?覆盖
news	n.新闻?消息
organ	n.器官?机构
refuse	v.拒绝
hill	n.小山?丘陵
wagon	n.四轮马车?货车?n.四轮马车； 货车
rite	n.仪式?典礼?n.仪式， 典礼
Hawaii	n.夏威夷
brick	n.砖块
pigeon	n.鸽子
celebrity	n.名声?名人
your	pron.你的?你们的
gulf	n.海湾?深渊?n.海湾； 分歧， 隔阂， 鸿沟
bond	n.结合?协定?v.使结合?粘合?v.黏合， 结合?n.联结，黏结；债券；黏合剂；契约，合同
notice	n.通知?v.注意到
voice	n.嗓音?意见?v.说(话)
double	n&a.两倍(的)?v.使加倍
entrance	n.入口
chemistry	n.化学
portrait	n.肖像?人像?n.肖像， 画像； 描写， 描绘
empty	adj.空的?v.(使)空?倒出
islander	n.岛上居民
piano	n.钢琴
proxy	n.代理人
neolithic	adj.新石器时代的
voyage	n&v.航海?n.旅行； 航程
spore	n.孢子
Texas	n.德克萨斯州(美国州名)
timber	n.木材?木料?n.木材， 木料
container	n.容器
article	n.文章?论文
drink	v.喝酒
runoff	n.径流量?流出
watercolor	n.水彩颜料?水彩画(法)
self	n.自己?自我
mantle	n.斗蓬?v.披风?覆盖?n.覆盖物； 披风， 斗篷； 纱罩； 【地】地幔
telescope	n.望远镜
hungry	adj.饥饿的?渴望的
crossbill	n.交喙鸟
emergence	n.浮现?露出
cheap	adj.便宜的?不值钱的
sort	n.种类v分类?拣选
industrialize	v.使工业化
hominid	n.原始人类?adj.灵长目的?n.原始人类；人科动物
laboratory	n.实验室?n.实验室， 研究室
cinema	n.电影院?电影
compass	n.罗盘?指南针?n.罗盘，罗盘仪；
kittiwake	n.三趾鸥
mode	n.方式?模式?n.方式， 形式； 风格； 时尚
everything	pron.每件事物
sanctuary	n.避难所?n.禁猎区， 动物保护区； 庇护所， 避难所； 圣所， 圣殿
bus	n.公共汽车
theatrical	adj.戏剧性的
laborer	n.劳动者
decide	v.决定?判决
aluminum	n.铝
firm	n.公司?adj.结实的； 坚定的， 坚决的
fight	n&v.战斗?打架?斗争
performer	n.表演者
listen	v.听
dependence	n.依靠?信任
struggle	v.努力?奋斗?挣扎
German	n.德国人?adj.德国的
irregular	adj.不规则的?无规律的?adj.不规则的， 无规律的； 不整齐的； 不合常规的
centimeter	n.厘米
colonization	n.殖民地化?殖民?n.殖民地化
female	n.女性
emit	v.发出?放射?vt.发出； 放射； 排放
retreat	v.撤退?退却?vi.退却，撤退；退缩?n.退却， 撤退； 隐退处
invertebrate	a&n.无脊椎的?无骨气的人?adj.无脊椎的?n.无脊椎动物
symbiotic	adj.共生的
circle	n.圆(圈)?v.围着?盘旋
quarter	n.四分之一?一刻钟
fix	v.修理?安装?整理?v.修理；使固定，安装；安排；找到，确定?n.解决方法； 困境， 窘境
doubt	n&v.怀疑?怀疑
Tennessee	n.田纳西州
eruption	n.爆发?火山灰
treat	vt&n.对待?款待
politician	n.政治家?政客
mail	n.邮件?邮政?n.邮件?vt.邮寄
beauty	n.美?美景
Spanish	a&n.西班牙(的)?西班牙人(的)
engraving	n.雕刻术?雕版?n.雕刻术， 刻版术； 版画
tide	n.潮?潮汐?v.涨落?n.潮， 潮汐； 潮流， 趋势
ray	n.光线?射线
weigh	v.称重量
plane	n.平面?飞机
nouveau	adj.新近到达的?最近产生的
glaze	v.变呆滞?v.上釉?n.釉(料)?v.上釉； 给…装玻璃?n.釉料；糖浆
martian	n&a.火星人(的)
bee	n.蜜蜂
latter	adj.后者的?后面的?adj.后面的，后半期的；后者的?n.后者
anything	pron.任何事
roof	n.屋顶
mercantile	adj.贸易的?商业的?adj.贸易的， 商业的； 重商主义的
fossilize	v.成化石?陈腐
countercurrent	n.逆流?反向电流
potter	n.陶工?制陶工人
excavate	v.挖掘?开凿?vt.挖掘； 掘出
reclamation	n.开垦?改造
admire	v.赞美?钦佩?羡慕?vt.钦佩， 仰慕； 欣赏
ensure	v.确保?保证?vt.确保， 担保， 保证
weak	adj.虚弱的?淡的
excite	v.使兴奋?激动
sale	n.出售?卖出
blow	v.风吹?吹气于
pair	n.一对?一双
cease	v.停止?终了?v&n.结束， 终止， 停止
classroom	n.教室
biologist	n.生物学家
aboriginal	adj.土著的?原来的?adj.原始的；土著的，土生土长的?n.土著
crude	adj.天然的?未加工的?粗鲁的?adj.天然的， 未提炼的； 粗糙的； 粗俗的
drawing	n.图画?制图
hang	v.悬挂?附着
income	n.收入?收益
freedom	n.自由
Mississippi	n.密西西比河?密西西比州(美国州名)
separation	n.分离?分开
recharge	v.再充电?再进攻?恢复精力?v.充电； 休整； 再装弹药
gene	n.[遗传]因子?[遗传]基因
penetrate	v.穿透?渗透?看穿?v.刺穿； 渗透； 洞察
nerve	n.神经?胆量
engrave	v.雕刻?使铭记?vt.雕刻； 铭刻
graham	adj.全麦(面粉)的
eight	num.八?八个?第八
turnpike	n.收费公路
load	n.负荷?装载量?v.装(载)?使负担?n.负荷，负担；装载?vt.装载， 使负担
mixture	n.混合(物)
spin	v.旋转?纺纱?v.快速旋转；纺纱；吐丝；甩干衣服?n.旋转
expressive	adj.表达的?意味深长的?adj.有表现力的， 富有表情的； 表示…的， 表现…的
secrete	v.隐藏?隐匿?vt.分泌； 藏匿， 躲藏
garden	n.(菜、花)园
astronomer	n.天文学家
bare	adj.赤裸的?无遮蔽的?adj.赤裸的；光秃的，无遮盖的；最基本的?vt.脱掉； 显露
Erie	n.伊利(人)
Yucatan	n.尤卡坦半岛
alkali	n.碱?adj.碱性的
sedimentary	adj.沉积的?沉淀性的?adj.沉积的， 沉淀性的
Spain	n.西班牙(欧洲南部国家)
window	n.窗?窗口
text	n.正文?课文
sing	v.唱?演唱
assist	v.援助?帮助
enclose	v.放入封套?围绕?vt.围住； 把…装入
furnace	n.炉子?熔炉?n.火炉， 熔炉； 锅炉
whom	pron.谁
bake	v.烘焙?烤?v.烘， 烤， 焙
ash	n.灰(烬)?[植]岑树
pit	n.深坑?陷阱v窖藏?使凹下?vt.使有坑，使…表面有斑点?n.大坑， 深坑； 矿井； 陷阱
traffic	n.交通?运输
Harvard	n.哈佛大学(美国)
Himalaya	n.喜马拉雅山
gravity	n.地心引力?重力?n.重力； 严重性； 严肃， 庄严
explorer	n.探险者
educate	v.教育?培养
sudden	adj.突然的?意外的
precipitation	n.仓促
sheep	n.羊?绵羊
mercy	n.仁慈?宽恕?怜悯?n.宽恕； 仁慈； 恩惠， 幸运
lewis	n.[机] 吊楔?起重爪
oceanic	adj.海洋的
comfortable	adj.舒适的?充裕的
sail	v.航行(于)?启航
publisher	n.出版者?发行人
seat	n.座位?v.使坐下
usual	adj.平常的?通常的
touch	v.接触?达到
outflow	n.流出(物)
durable	adj.持久的?耐用的?adj.持久的， 耐用的
seal	n.封铅 vt封? 密封?vt.密封；确定，使成定局?n.海豹； 封铅， 封条； 印， 图章
Ohio	n.俄亥俄州(美国州名)
guide	n.领路人?指南 vt指导? 支配
southwestern	adj.西南的? 来自西南的
infantile	adj.幼稚的，幼儿的
brother	n.兄弟
amnesia	n.健忘症
toy	n.玩具
silent	adj.寂静的? 沉默的
nutritional	adj.营养的?滋养的
taste	v.品尝? 体验
delivery	n.递送?交付?传输
satisfy	v.满足?使满意
react	v.起反应? 起作用
freshwater	n.淡水
official	n.官员?adj.官方的?正式的
save	v.解救? 保存
appreciate	v.赏识? 感激?vt.赏识； 鉴赏， 欣赏； 感激
friend	n.朋友? 赞助者? 助手
crustal	adj.地壳的?adj.外壳的， 地壳的
carbohydrate	n.碳水化合物?醣类?n.碳水化合物
nine	num.九?九个
strengthen	v.加强? 巩固
sociologist	n.社会学家
sum	n.总数?总和?v.共计?概括?v.共计， 合计， 总计?n.和，总数；金额，数额；算术
leadership	n.领导能力?领导阶层
king	n.国王
seafloor	n.海底
hotel	n.旅馆? 客栈
found	v.建立? 创办
twice	adv.两次? 两倍
instruction	n.命令?指示?用法说明?adj.说明用法的?n.教导；
motor	n.发动机?adj.机动的；肌肉运动的?n.发动机， 电动机
partially	adv.部分地
Germany	n.德国
beautiful	adj.美丽的
trust	v.信任? 信赖
artwork	n.艺术品?美术品
shore	n.岸? 海滨?n.滨，岸?vt.支撑， 支持
tube	n.管子?n.管； 管状物； 管状器官
kiln	n.窑?炉?n.窑， 炉
indium	n.[化]铟
burst	v.爆裂? 炸破
academy	n.学院?学会?专科学校?n.学会， 研究院； 专科院校
path	n.小路? 路线?n.道路； 路线； 小路， 小径
imprint	v.留下烙印?vt.使铭记， 使牢记； 压印?n.印记， 印痕； 持久的影响
impression	n.印象? 感想
Pennsylvania	n.宾夕法尼亚州（美国州名）
iridium	n.[化]铱
pick	v.挑选?采摘
cent	n.(货币单位)分? 分币
rush	n&v.冲?匆忙?突袭?v.冲，突进；奔，急速流动；仓促从事；突袭?n.冲，急速行进；匆忙；
spray	n.喷雾 vt喷射?n.浪花；飞沫；
strongly	adv.强烈地；强有力地
lay	v.放置?铺设?v.产； 放置； 铺； 筹划， 设置； 提出， 提交
bite	n&v.咬? 刺痛
harm	v.伤害? 损害
footprint	n.足迹
herself	pron.她自己
unpredictable	adj.不可预知的?adj.不可预知的； 无法预言的
automobile	n.汽车?n.汽车， 机动车
collector	n.收藏家? 征收者
cooperation	n.合作? 协作?n.合作， 协作
enzyme	n.[生化]酶?n.酶， 酵素
employee	n.职工? 雇员
irrigate	v.灌溉?vt.灌溉； 冲洗
dozen	n.一打? 十二个?n.一打， 十二个
silt	n.淤泥?v.(使)淤塞?v.阻塞
roll	v.(使)滚动?卷?v.滚动，转动；卷，绕；摇摆，摇晃?n.卷； 卷形物； 名单， 花名册
surveyor	n.测量员? 检查员
acre	n.英亩? 地产
nuclear	adj.核子的? 原子能的
larva	n.幼虫?n.〔昆虫的〕幼虫，幼体
sharp	adj.锐利的?明显的?急剧的
peasant	n.农夫
page	n.页?记录
accumulator	n.蓄电池?积聚者
lip	n.嘴唇
rainwater	n.雨水
satire	n.讽刺(文学)?n.讽刺文学， 讽刺作品； 讽刺
impressive	adj.给人深刻印象的? 感人的?adj.给人深刻印象的； 感人的
brush	n.刷子? 毛刷? 画笔 vt刷? 掸? 拂?v.刷，拂；轻碰?n.画笔； 刷子； 轻碰； 小冲突
Massachusetts	n.马萨诸塞(美国州名)
realism	n.现实主义
watch	v.看?注视?照顾
marry	v.娶? 嫁?和结婚
race	n.种族 v赛跑
lava	n.熔岩? 火山岩?n.岩浆， 熔岩
empire	n.帝国
deco	n.装饰派艺术
ruminant	n&a.反刍动物(的)? 沉思的
stoneware	n.瓷器
barb	n.鱼钩?v.装倒钩于?n.鱼钩， 倒钩； 挖苦的话
forage	n.草料?vi.觅食；搜寻?n.草料， 饲料
nitinol	n.[冶]镍钛诺(镍和钛的非磁性合金)
chick	n.小鸡
frost	n.霜?v.结霜?v.结霜，蒙上霜?n.霜； 霜冻； 严寒
precisely	adv.正好
egalitarian	adj.平等主义的
plover	n.千鸟
shelve	v.搁置
